"Year,Month_Name,State,Vehicle_Category,EV_Sales_Quantity,Date_parsed"
"2016,Jan,Arunachal Pradesh,Bus,0,2016-01-01"
"2016,Jan,Arunachal Pradesh,2-Wheelers,0,2016-01-01"
"2016,Jan,Arunachal Pradesh,4-Wheelers,0,2016-01-01"
"2016,Jan,Arunachal Pradesh,3-Wheelers,0,2016-01-01"
"2016,Jan,Assam,Others,0,2016-01-01"
"2016,Jan,Assam,Bus,0,2016-01-01"
"2016,Jan,Assam,2-Wheelers,0,2016-01-01"
"2016,Jan,Assam,4-Wheelers,0,2016-01-01"
"2016,Jan,Assam,3-Wheelers,0,2016-01-01"
"2016,Jan,Assam,Others,2,2016-01-01"
"2016,Jan,Andaman & Nicobar Island,Others,0,2016-01-01"
"2016,Jan,Andaman & Nicobar Island,2-Wheelers,0,2016-01-01"
"2016,Jan,Andaman & Nicobar Island,4-Wheelers,0,2016-01-01"
"2016,Jan,Andaman & Nicobar Island,Bus,0,2016-01-01"
"2016,Jan,Andaman & Nicobar Island,3-Wheelers,0,2016-01-01"
"2016,Jan,Bihar,Others,0,2016-01-01"
"2016,Jan,Bihar,Bus,0,2016-01-01"
"2016,Jan,Bihar,2-Wheelers,0,2016-01-01"
"2016,Jan,Bihar,4-Wheelers,0,2016-01-01"
"2016,Jan,Bihar,3-Wheelers,0,2016-01-01"
"2016,Jan,Bihar,3-Wheelers,35,2016-01-01"
"2016,Jan,Chhattisgarh,Others,0,2016-01-01"
"2016,Jan,Chhattisgarh,Bus,0,2016-01-01"
"2016,Jan,Chhattisgarh,2-Wheelers,8,2016-01-01"
"2016,Jan,Chhattisgarh,2-Wheelers,0,2016-01-01"
"2016,Jan,Chhattisgarh,4-Wheelers,0,2016-01-01"
"2016,Jan,Chhattisgarh,3-Wheelers,0,2016-01-01"
"2016,Jan,Chandigarh,Others,0,2016-01-01"
"2016,Jan,Chandigarh,Bus,0,2016-01-01"
"2016,Jan,Chandigarh,2-Wheelers,0,2016-01-01"
"2016,Jan,Chandigarh,4-Wheelers,0,2016-01-01"
"2016,Jan,Chandigarh,3-Wheelers,0,2016-01-01"
"2016,Jan,Dnh And Dd,Others,0,2016-01-01"
"2016,Jan,Dnh And Dd,Bus,0,2016-01-01"
"2016,Jan,Dnh And Dd,2-Wheelers,0,2016-01-01"
